", ",Дата,"План A≥65%, B, C<50%",Отжимания,Отжимания Факт,Брусья,Брусья Факт,Пресс,Пресс Факт,Турник,Турник Факт,Гиря,Гиря факт,Эспандер,Эспандер Факт,Бег,Бег Факт,Плавание,Плавание факт,Гребля,Гребля факт,Теннис,Теннис факт,"Восстановление сейчас ежедневно йога 1 раз/день, ежедневно холодный душ утром 2мин",Восстановление факт
1 неделя,21.июл,,"Классика 3х12
 Платформа 3х8",100,Брусья 3×6,100,"Планка 2х45сек
 Планка боковая 2х2х30сек",20,Турник,0,Турецкий подъём с гирей,0,,,Медленный бег 6км,100,,,,,,,,
,22.июл,,,,,,,,,,,,,,,,,,,,,,,
,23.июл,,,,,,,,,,,,,,,,,,,,,,,
,24.июл,,,,,,,,,,,,,,,,"Брасс 0,4км",100,,,Игра 90 мин,100,,
,25.июл,,,,,,,,,,,,,,,,,,,,,,,
,26.июл,,,,,,,,,,,,,,,,,,,,Игра 90 мин,100,,
,27.июл,,,,,,,,,,,,,,Восстановительный бег 5км,140,"Брасс 0,4км",0,,,,,,
2 неделя,28.июл,,"Классика 3х12
 Платформа 3х8",0,Брусья 3×6,0,"Планка 2х45сек
 Планка боковая 2х2х30сек",0,Турник 3х5,0,Турецкий подъём с гирей 3х1 каждая рука,0,Тяга вниз/вверх под углом (имитация подачи) 3х15 каждая рука,0,,,,,,,,,"Локоть левый.
 Опуск гантели 3х15",0
,29.июл,,,,,,,,,,,,,,,,"Брасс 0,4км",0,,,,,,66
,30.июл,,,,,,,,,,,,,,Медленный бег 6км,0,,125,,,Игра 90 мин,100,"Локоть левый.
 Опуск гантели 3х15",0
,31.июл,,,,,,,,,,,,,,Медленный бег 6км,95,,,,,,,,
,01.авг,,,,,,,,,,,,,,,,,,,,Тренировка 60 мин,100,"Локоть левый.
 Опуск гантели 3х15",0
,02.авг,,,,,,,,,,,,,,,,"Брасс 0,5км",120,,,Игра 90 мин,100,,
,03.авг,,,,,,,,,,,,,,"Медленный бег 6км
 интенсивный бег 4х20сек","Медленный бег 5,7км
 интенсивный бег 4х20сек",,,,,,,,
3 неделя,04.авг,,,,,,,,,,,,,,,"Медленный бег 8,5км
 интенсивный бег 4х20сек",,,,,,,"Локоть левый.
 Опуск гантели 3х15",0
,05.авг,,"Классика 3х12
 Платформа 3х8","Классика 3х12
 Платформа 2х8",Брусья 3×6,Брусья 3×6,"Планка 2х45сек
 Планка боковая 2х2х30сек","Планка 2х45сек
 Планка боковая 1х2х3сек",Турник 3х5,Турник 2х5,,,Тяга вниз 1х10,Подача вниз 1х10,,,,,,,Тренировка 60 мин,60,,
,06.авг,,,,,,,,,,,,,,Восстановительный бег 6км,,,,,,,,"Локоть левый.
 Опуск гантели 3х15",0
,07.авг,,,,,,,,,,,,,,,"Медленный бег 11,0км
 интенсивный бег 7х20сек",,,,,,,,
,08.авг,,,,,,,,,,,,,,,,,,,,Тренировка 60 мин,60,"Локоть левый.
 Опуск гантели 3х15",0
,09.авг,,,,,,,,,,,,,,"Медленный бег 10км
 интенсивный бег 4х20сек","Восстановительный бег 8,0км",,,,,,,,
,10.авг,,,,,,,,,,,,,,,,,Брасс легкий темп 600м за 20 минут,,,,,,
4 неделя,11.авг,,,,,,,,,,,,,,"Медленный бег 6км
 интенсивный бег 4х20сек (z2:40мин. Z4:3мин)","Медленный бег 6,5км
 интенсивный бег 4х20сек",,,,,,,"Локоть левый.
 Опуск гантели 3х15",
,12.авг,,,,,,,,,,,,,,,,,,,,Тренировка 60 мин,,,
,13.авг,,"Классика 3х12
 Платформа 3х8",,Брусья 3×6,,"Планка 2х45сек
 Планка боковая 2х2х30сек",,Турник 3х5,,,,Тяга вниз 1х10,,Восстановительный бег 10км (z2:80мин),"Медленный бег 8,5км
 интенсивный бег 6 минут",Брасс легкий темп 600м (20мин),,,,,,"Локоть левый.
 Опуск гантели 3х15",
,14.авг,,,,,,,,,,,,,,"Интенсивный бег 4×4 мин на темпе 3–5 км (RPE 8–9/10), отдых 3 мин лёгкий бег(z2:20мин. Z4:12мин)",,,,,,,,,
,15.авг,,,,,,,,,,,,,,,,Брасс легкий темп 600м (20мин),,,,Тренировка 60 мин,,"Локоть левый.
 Опуск гантели 3х15",
,16.авг,,,,,,,,,,,,,Тяга вниз 1х15,Восстановительный бег 10км (z2:80мин),,,,,,Соревнование 90 мин,90,,
,17.авг,,,,,,,,,,,,,Тяга вниз 1х10,,,,,,,Соревнование 90 мин,120,,
5 неделя,18.авг,,,,,,,,,,,,,,,,,,,,,,,
,19.авг,,,,,,,,,,,,,,,,,Брасс легкий 800м (25 мин),,,Тренировка 60 мин,50,,
,20.авг,,,,,,,,,,,,,,,Восстановительный бег 7км,,,,,,,,
,21.авг,,,,,,,,,,,,,,,,,,,,Соревнование 90 мин,60,,"Локоть левый.
 Опуск гантели 3х15"
